,Rank,Name,Type,Reviews,ABV,Score,Link,Brewery,City,State,Description
33,34.0,Cycle Trademark Dispute (Yellow),Imperial Stout,114.0,,4.22,https://www.ratebeer.com/beer/cycle-trademark-dispute-40yellow41/469749/,Cycle Brewing,Saint Petersburg,Florida,"Bourbon barrel aged imperial stout with Coffee, Cinnamon. Previously known as Pallet #1"
34,35.0,Firestone Walker Parabola,Imperial Stout,1134.0,14.0,4.22,https://www.ratebeer.com/beer/firestone-walker-parabola/60246/,Firestone Walker Brewing (Duvel-Moortgat),Paso Robles,California,"Parabola has been a major component of past anniversary blends and is one of our most aggressive offerings. This beer features bold bourbon and tobacco aromas and a rich dark chocolate, charred oak flavor. Parabola is best enjoyed in moderation and is a perfect beer to pair with those chocolate dessert favs. An extension of Quercus Alba—the Firestone Walker Barrel aged program. Russian Imperial Stout Aged in Bourbon Barrels. "
35,36.0,Omnipollo / Siren / David Strachan Lorelei - Barrel Aged Extra Maple,Imperial Porter,119.0,10.5,4.22,https://www.ratebeer.com/beer/omnipollo-siren-david-strachan-lorelei-barrel-aged-extra-maple/496247/,Omnipollo,,Sweden,Barrel Aged Extra Maple Maple Coconut Toast Imperial Porter
36,37.0,Funky Buddha Last Buffalo in the Park,Imperial Porter,136.0,11.0,4.21,https://www.ratebeer.com/beer/funky-buddha-last-buffalo-in-the-park/309542/,Funky Buddha Brewery (Constellation),Oakland Park,Florida,"This Imperial version of our Last Snow porter is a rich, thick, decadent treat. Pitch black and viscous, it’s made with coconut and fresh roasted coffee. We then age it in Bourbon barrels for months to accentuate the vanilla and coconut notes. Originally brewed in collaboration with our friends at Park Tavern in Delray Beach."
37,38.0,Evil Twin Double Barrel Jesus,Imperial Stout,178.0,12.0,4.21,https://www.ratebeer.com/beer/evil-twin-double-barrel-jesus/190252/,Evil Twin Brewing,Brooklyn,New York,Blend of different barrels of Even More Jesus.Previously brewed at Fanø Bryghus
38,39.0,Funky Buddha Wide Awake It's Morning,Imperial Porter,207.0,10.0,4.2,https://www.ratebeer.com/beer/funky-buddha-wide-awake-it39s-morning/148014/,Funky Buddha Brewery (Constellation),Oakland Park,Florida,"Rise and shine, buttercup - it’s time for breakfast. This imperial version of our infamous Maple Bacon Coffee Porter adds some girthy gravity to the the smokey, salty, rich combo of maple syrup, fresh roasted coffee, and bacon."
39,40.0,AleSmith Speedway Stout - Vietnamese Coffee,Imperial Stout,518.0,12.0,4.2,https://www.ratebeer.com/beer/alesmith-speedway-stout-vietnamese-coffee/159307/,AleSmith Brewing Company,San Diego,California,Speedway Stout brewed with Vietnamese Coffee and no Lactose
40,41.0,Surly Darkness,Imperial Stout,1075.0,9.6,4.2,https://www.ratebeer.com/beer/surly-darkness/65289/,Surly Brewing Company,Minneapolis,Minnesota,"This massive Russian Imperial Stout brings waves of flavors; chocolate, cherries, raisins, coffee, and toffee. We add a touch of hops to make this delicious brew even tastier.85 IBUs. Labels:’07 = Grim Reaper’08 = Devil’09 = Mummy’10 = Vampire’11 = Zombie’12 = Werewolf ’13 = Hell Demon ’14 = Harpy (bottled reviews have separate entry in database) ’15 = Bat ’16 = Cerberus ’17 = Baba Yaga - Forest Witch"
41,42.0,Stone Imperial Russian Stout - Bourbon Barrel,Imperial Stout,456.0,10.8,4.2,https://www.ratebeer.com/beer/stone-imperial-russian-stout-bourbon-barrel/57739/,Stone Brewing,Escondido,California,"The beer is Stone Imperial Russian Stout, and it was aged for about a year in a used bourbon barrel. From that wooden cask, we were only able to keg up very little."
42,43.0,Cycle Trademark Dispute (Green),Imperial Stout,84.0,,4.2,https://www.ratebeer.com/beer/cycle-trademark-dispute-40green41/469748/,Cycle Brewing,Saint Petersburg,Florida,Bourbon barrel aged imperial stout with hazelnuts
43,44.0,Westvleteren Extra 8,Belgian Strong Ale,2082.0,8.0,4.2,https://www.ratebeer.com/beer/westvleteren-extra-8/4935/,Westvleteren Abdij St. Sixtus,,Belgium,"Westvleteren has the smallest output of the Trappist breweries, with only a small part of their production going very far into the world. "
44,45.0,Deschutes The Abyss,Imperial Stout,1659.0,11.0,4.2,https://www.ratebeer.com/beer/deschutes-the-abyss/65832/,Deschutes Brewery,Bend,Oregon,"This special Reserve Series brew will only be offered December – February (limited distribution)The Abyss: Stout brewed with licorice and molasses with 33% aged in oak and oak bourbon barrels.It’s dark. It’s deep. It’s mysterious. Aged in French Oak and Bourbon barrels, this special brew has immeasureable depth inviting you to explore and discover its rich, complex profile. The flavor of molasses and licorice draw you in further and further with each sip. The Abyss beckons. Enjoy the journey."
45,46.0,Hill Farmstead Abner,Imperial IPA,389.0,8.0,4.2,https://www.ratebeer.com/beer/hill-farmstead-abner/122097/,Hill Farmstead Brewery,Greensboro,Vermont,"Abner: Imperial IPA brewed with a plethora of hops.Abner (1867-1953) is our great grandfather; Hill Farmstead Brewery rests upon the land that was once home to him and his fourteen children.  In his honor, this Double IPA is dutifully crafted from American malted barley, a plethora of American hops, our ale yeast and water from Abner’s well.  It is unfiltered, naturally carbonated, and double dry hopped.  Aromatic and flowery, bursting with notes of citrus and pine, this is the ale that I dream to have shared with Abner.  "
46,47.0,Toppling Goliath King Sue,Imperial IPA,213.0,8.5,4.2,https://www.ratebeer.com/beer/toppling-goliath-king-sue/252251/,Toppling Goliath,Decorah,Iowa,Citra Double IPA
47,48.0,Bell's Hopslam,Imperial IPA,2646.0,10.0,4.19,https://www.ratebeer.com/beer/bell39s-hopslam/35488/,Bell's Brewery,Galesburg,Michigan,"Starting with six different hop varietals added to the brew kettle &culminating with a massive dry-hop addition of Simcoe hops, Bell’s Hopslam Alepossesses the most complex hopping schedule in the Bell’s repetoire. Selected specifically because of their aromatic qualities, these Pacific Northwest varieties contribute a pungent blend of grapefruit, stone fruit, and floral notes. A generous malt bill and a solid dollop of honey provide just enough body to keep the balance in check, resulting in a remarkably drinkable rendition of the Double India Pale Ale style."
48,49.0,Närke Kaggen Stormaktsporter Börb'nåhallon,Imperial Stout,148.0,9.0,4.19,https://www.ratebeer.com/beer/narke-kaggen-stormaktsporter-borb39nahallon/413252/,Närke Kulturbryggeri,,Sweden,"
Närke Kaggen Stormaktsporter Börb’nåhallonDenna specialversion av Kaggen Stormaktsporter, ekfatslagrad och smaksatt med hallon, är bryggd för att fira att Kaggen fyller 10 och AKKURAT 20 år. Bryggd i oktober 2014, 26° Plato, 9% alkohol, lagrad i fjorton månader varav tre på bourbonfat, buteljerad i december 2015. Hela produktionen skedde på Närke Kulturbryggeri i Örebro, Sverige. www.kulturbryggeri.se www.akkurat.se"
49,50.0,Hair of the Dog Matt,American Strong Ale ,496.0,12.5,4.19,https://www.ratebeer.com/beer/hair-of-the-dog-matt/99157/,Hair of the Dog Brewing Company,Portland,Oregon,"Matt VandenBerghe and Matt Bonney (Bottleworks and Brouwers in Seattle) personify the spirit and dedication that has helped craft beer become the vibrant industry it is today. This Beer was originally Brewed to celebrate the tenth anniversary of Bottleworks, and will be released every few years from the Brewery.Matt is made with two Munich malts, two Smoked malts and two types of Belgian candy sugar. It is aged in Kentucky Bourbon and Apple Eau de Vie barrels from Clear Creek distilling. Matt is deep and lush with notes of apple, chocolate and smoke. "
