,Toppling Goliath Kentucky Brunch,Westvleteren 12 (XII),Toppling Goliath Mornin' Delight,Cigar City Hunahpu's Imperial Stout - Double Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Barrel Aged,Russian River Pliny the Younger,AleSmith Speedway Stout - Bourbon Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Vanilla Bean,Bell's Black Note Stout,Founders CBS (Canadian Breakfast Stout),AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee,Rochefort Trappistes 10,AleSmith Speedway Stout,Hill Farmstead Ann,Cigar City Hunahpu's Imperial Stout,Bell's Expedition Stout,Founders KBS (Kentucky Breakfast Stout),Three Floyds Dark Lord Russian Imperial Stout,Russian River Pliny the Elder,Funky Buddha Morning Wood,Perennial Abraxas - Barrel Aged,Goose Island Bourbon County Stout,Cigar City Hunahpu's Imperial Stout - Bourbon Barrel Aged,Szałpiw Buba Extreme Jack Daniels BA,Alchemist Heady Topper,Mikkeller Beer Geek Vanilla Shake (Bourbon Edition),Goose Island Bourbon County Stout - Coffee,Three Floyds Dreadnaught Imperial IPA,Toppling Goliath Assassin,Hill Farmstead Aaron,Mikkeller Beer Geek Brunch Weasel,Prairie / Evil Twin Bible Belt - Barrel Aged,Bell's Bourbon Barrel-Aged Expedition Stout,Cycle Trademark Dispute (Yellow),Firestone Walker Parabola,Funky Buddha Last Buffalo in the Park,Evil Twin Double Barrel Jesus,Omnipollo / Siren / David Strachan Lorelei - Barrel Aged Extra Maple,Funky Buddha Wide Awake It's Morning,AleSmith Speedway Stout - Vietnamese Coffee,Surly Darkness,Cycle Trademark Dispute (Green),Westvleteren Extra 8,Deschutes The Abyss,Hill Farmstead Abner,Stone Imperial Russian Stout - Bourbon Barrel,Toppling Goliath King Sue,Hair of the Dog Matt,Bell's Hopslam,Närke Kaggen Stormaktsporter Börb'nåhallon
531,,4.5,,,,4.5,4.4,,4.2,4.2,,4.6,5,,4.3,3.6,4.8,4.4,4.3,,,4.2,,,5,,4.5,5,,,4.1,,,,4,,,,,,4,,3.4,4,,,,,4.7,
532,,3.7,,,,4.8,4.7,,4.8,4.4,,5,4.2,,4.3,4.5,4.9,4.4,4.5,,,4.2,,,4.2,,4,4.4,,,4,,,,4.1,,,,,,4.3,,4.4,4.3,,,,,4.4,
533,,4.8,,,,4.3,4.1,,4.2,4.3,,4.8,4.3,,4.2,4.1,4.4,4.7,3.6,,,4.9,,,4.4,,4.3,4.2,,,4.2,,,,4.2,,,,,,4.1,,3.7,4.6,,,,,3.7,
534,,3.1,,,,4.4,4.1,,3.8,4.5,,4.3,4.5,,4.5,3.9,4.6,4.7,3.9,,,4.4,,,4.9,,4.5,4.3,,,1.2,,,,4.5,,,,,,3.9,,4,4,,,,,4.6,
535,,4.3,,,,5,4.2,,3.8,4.7,,5,4.5,,4.6,4,3.7,4.3,4.3,,,4.4,,,4.3,,4.3,3.9,,,4.6,,,,4.3,,,,,,4.3,,4.4,4.6,,,,,5,
536,,5,,,,3.8,3.5,,4.5,4.3,,4.2,4.3,,4.6,4.3,4.5,4.1,3.7,,,4.4,,,4.3,,5,4.5,,,4.5,,,,4.6,,,,,,4.1,,4.8,4,,,,,3.2,
537,,3.8,,,,4.7,4.9,,4.3,3.6,,4.1,4.5,,4.8,4.6,4,4.4,4.6,,,4.4,,,4.3,,3.7,3.9,,,4.4,,,,4.2,,,,,,4.4,,3.3,4.7,,,,,4.6,
538,,4.5,,,,4.5,3.8,,4.1,5,,4.2,3.9,,4.8,4.5,4.2,4.4,4.5,,,4.6,,,4.6,,4.1,4.1,,,4.2,,,,4.5,,,,,,4.3,,4.7,4,,,,,4.1,
539,,5,,,,4.8,3.8,,3.8,4.6,,4.4,4.2,,4.8,4.2,4.1,4.1,4.3,,,4.4,,,4.4,,4.2,3.6,,,4.8,,,,4.2,,,,,,4.3,,4,4.3,,,,,4.5,
540,,4.5,,,,4,4.7,,4.3,4.3,,4.4,4.7,,4.1,4.9,5,3.7,4.3,,,5,,,4.5,,4.3,4.6,,,4.3,,,,4.5,,,,,,4,,3.3,4.4,,,,,4.5,
541,,3.8,,,,4.1,4.8,,4.4,3.4,,4.6,4.5,,4,5,4.5,4.6,4.8,,,3.8,,,4.8,,4.1,4.6,,,4.8,,,,4.7,,,,,,4.1,,4.3,3.2,,,,,4,
542,,4.3,,,,4.3,4.7,,4.2,4.2,,4.4,4.1,,4,4.3,4.5,4.6,4.5,,,4,,,3.9,,4.1,3.9,,,4.2,,,,4.1,,,,,,3.9,,3.9,5,,,,,5,
543,,4.8,,,,3.9,4.8,,4.1,4.9,,4.5,4.5,,4.3,4.9,4.4,4,4.7,,,4.8,,,4.2,,3.9,4.7,,,4.9,,,,4.7,,,,,,4.2,,4.4,4.3,,,,,4.2,
544,,5,,,,4.2,4,,4.5,4.1,,4,3.2,,4.3,5,4.4,4.3,4.5,,,4.4,,,4.7,,4.1,4.5,,,3,,,,4.7,,,,,,3.8,,4.2,3.8,,,,,4.7,
545,,4.2,,,,4.7,4,,4.1,4.6,,4,4.3,,4.9,4.2,4.1,4.7,4.5,,,4.2,,,4.5,,4.7,4.4,,,4.3,,,,4.6,,,,,,4.1,,4.5,4.2,,,,,4.8,
546,,4.3,,,,3.9,4.2,,4.1,4.3,,4.6,3.8,,4,4.5,3.8,4.5,4.2,,,4.2,,,4.3,,5,4.5,,,4.3,,,,4.7,,,,,,4.3,,5,4.1,,,,,3.9,
547,,5,,,,4.1,3.8,,4.4,4.7,,4.2,4.7,,4.3,4.5,4.2,4.3,4,,,4.2,,,4.7,,4.3,4,,,4.7,,,,4.3,,,,,,4.4,,4.5,4.5,,,,,4.4,
548,,4.4,,,,4.2,4,,4.4,4.5,,4.4,4.3,,3.3,4.7,4.3,4.8,4.9,,,3.9,,,3.6,,3.9,4.7,,,4.1,,,,4.5,,,,,,4,,4.1,4.6,,,,,4,
549,,4.5,,,,4.2,4.4,,4.7,4.8,,4.4,4.5,,3.9,4.1,4.3,4.1,4.3,,,5,,,4,,4.4,4,,,5,,,,4.4,,,,,,4.5,,4.2,4.4,,,,,4.2,
550,,4.6,,,,4.1,2.7,,4.8,4.1,,4.8,5,,4.8,4,4.1,4,4.1,,,4.9,,,4.8,,4.5,4.2,,,4.8,,,,4.2,,,,,,4.5,,4.2,4.2,,,,,4.5,
551,,4.2,,,,4.2,4.4,,4.5,3.8,,4.2,4.6,,4.4,4.3,4.4,4.1,4.7,,,4.5,,,5,,4.4,4.5,,,4.1,,,,4.5,,,,,,4.1,,4.2,4.6,,,,,4.5,
552,,3.9,,,,4.8,4.8,,4.5,4.6,,4.2,4.9,,4.6,4.1,4.6,4.4,4.1,,,4.3,,,4.6,,3.5,4.3,,,2.8,,,,4.4,,,,,,4.6,,2.8,4.2,,,,,4.6,
553,,4.1,,,,5,4.6,,4,4.3,,4.4,4.4,,5,4.6,4,4.4,3.8,,,4.1,,,4.1,,3.8,3.7,,,4.3,,,,3.9,,,,,,4.7,,4.5,3.9,,,,,4.1,
554,,4.4,,,,4.5,4.6,,4.6,5,,5,4,,4.1,4.6,4.4,4.2,4.3,,,4.5,,,4.6,,3.9,4.5,,,4.8,,,,4.1,,,,,,4,,3.9,5,,,,,4.5,
555,,3.2,,,,4,4.7,,4.5,5,,5,3.8,,4.3,4.1,4.7,4.2,4.2,,,3.5,,,4.6,,1.5,4.2,,,3.6,,,,3.9,,,,,,4.3,,4.3,4.3,,,,,4.9,
556,,3.6,,,,4.7,4.6,,4.8,4.5,,5,4.2,,4.4,4,3.8,4.3,3.7,,,4.4,,,3.1,,4.1,4.4,,,4.2,,,,4.3,,,,,,4,,4.1,4.3,,,,,4.1,
557,,5,,,,4.5,4.1,,4.7,3.1,,4.6,4.5,,4.4,4.1,4,3.9,4.4,,,4.4,,,4,,2.9,4.1,,,4.3,,,,3.4,,,,,,4.4,,4.3,4.4,,,,,4.2,
558,,3.9,,,,4.3,4.2,,4.5,4.1,,4.7,3.9,,4.1,4.2,5,4.4,4.5,,,4.3,,,4.8,,4.3,4.5,,,4.9,,,,4.5,,,,,,3.9,,4.3,4.7,,,,,4.5,
559,,4,,,,4.5,3.6,,5,4.4,,4.6,5,,4,4.5,4.6,4.3,3.5,,,4.9,,,4.7,,4.5,4.2,,,4.5,,,,4,,,,,,3.8,,3.9,4.6,,,,,4.3,
560,,4.7,,,,4.7,4,,4.8,4.1,,5,3.9,,4.5,4,4.4,4.5,3.7,,,4.2,,,5,,4.1,5,,,4.1,,,,4.5,,,,,,3.4,,4.1,4.3,,,,,5,
561,,5,,,,4.4,4.6,,4.5,3.9,,4.3,4.1,,4,3.6,4.6,4.1,4.5,,,4.6,,,5,,4.1,4.9,,,4,,,,4.4,,,,,,4.6,,3.8,4.1,,,,,4.8,
562,,4.6,,,,4.6,4.2,,4.7,3.4,,3.8,4.1,,4.6,4.1,4.8,3.9,4.4,,,5,,,4.1,,4.6,4.5,,,4.7,,,,4.3,,,,,,4.3,,3.2,4.1,,,,,4.5,
563,,3.4,,,,4.3,4.6,,4.6,4.1,,4.6,4.2,,4.4,4.7,4.4,4.6,4.5,,,4.8,,,3.8,,3.9,3.4,,,4.1,,,,3.9,,,,,,3.6,,4.2,4.3,,,,,4.1,
564,,4.4,,,,5,4.2,,4.2,4.4,,4.2,4.3,,4.6,3.8,4.8,3.7,5,,,4.5,,,4.2,,3.7,3.7,,,4.1,,,,4,,,,,,4.3,,4,4.4,,,,,4.1,
565,,5,,,,4.9,4.8,,4.2,4.5,,4.6,4.3,,4.4,4,4.7,3.6,4.7,,,4.2,,,4.6,,4.3,4.6,,,4.6,,,,4,,,,,,4.1,,4,4.3,,,,,4.2,
566,,4.7,,,,4.5,3.9,,4.6,4.1,,4.4,4.5,,4.6,3.5,4.3,4.6,4.1,,,4.8,,,4.3,,4,4.7,,,3.9,,,,4.3,,,,,,4.1,,4,4.4,,,,,4.6,
567,,5,,,,4.4,4.5,,4.4,4.5,,4.3,3.8,,4.5,3.7,3.9,4.3,4.2,,,4.4,,,3.7,,3.8,4.2,,,4.7,,,,4.1,,,,,,3.9,,4,3.9,,,,,5,
568,,4,,,,4.1,4.6,,5,4.6,,5,4,,4.5,3.8,4.4,4.8,4,,,4.8,,,3.8,,4.6,4,,,4.4,,,,4.3,,,,,,4.2,,3.7,4.6,,,,,4.1,
569,,4.8,,,,4.6,4.4,,4.3,4.9,,3.9,4.6,,4.4,4.3,4.6,4.5,4.8,,,4.3,,,4.1,,4.7,4.1,,,4.4,,,,4.2,,,,,,3.6,,3.7,4.2,,,,,1,
570,,5,,,,4.8,4.3,,4.2,3.5,,3.8,4.3,,4.5,4.3,4.2,4.3,4.1,,,4.3,,,4.3,,4.6,4.7,,,4,,,,4.1,,,,,,3.7,,3.5,3.6,,,,,4.6,
571,,5,,,,4.6,4.1,,4.3,4.5,,4,4.8,,4.3,4.8,4.6,4,4.6,,,4.3,,,4.4,,4.2,3.8,,,4.7,,,,4,,,,,,4.2,,4.8,4,,,,,4.5,
572,,4.7,,,,4.8,4.9,,4.5,4.6,,4.6,3.9,,4.6,4.2,4.2,4.5,4.4,,,4.6,,,4.1,,4.4,4.3,,,4,,,,4.1,,,,,,4.4,,4,4.1,,,,,4.8,
573,,4.5,,,,4,4.4,,4.3,4.7,,5,3.1,,4.7,4,5,4.3,3.9,,,4.1,,,4.2,,4.4,4.5,,,4,,,,4.1,,,,,,4.1,,4.1,4.3,,,,,4.7,
574,,3.5,,,,4.2,4.5,,5,4.6,,4.8,3.9,,5,4.8,4.2,4.4,5,,,4.6,,,5,,4.4,4.2,,,4.7,,,,4.3,,,,,,4.5,,4.1,4.1,,,,,3.9,
575,,4.4,,,,4.4,4.4,,4.3,4,,3.5,4.1,,4.5,4.2,4.2,4.4,4.6,,,4.4,,,4,,4.1,4.3,,,4.6,,,,4.3,,,,,,3.9,,3.7,4.2,,,,,4.1,
576,,4.5,,,,4.5,4.6,,4.4,4,,4.5,4.3,,3.7,4.1,4.2,3.7,4.6,,,4.8,,,3.9,,4.1,4.2,,,4.8,,,,4.7,,,,,,4.2,,4.5,4.6,,,,,5,
577,,5,,,,4.1,4.3,,4.2,5,,4.1,3.8,,4.8,4.1,4.3,4.2,4.3,,,4.8,,,4.6,,4.4,4,,,4.8,,,,4.2,,,,,,4.4,,4.5,4.2,,,,,4.1,
578,,4.7,,,,4.1,4.3,,4.4,4.4,,5,4.1,,4.2,4.3,3.9,3.6,4.2,,,4.7,,,4.5,,4.1,4.7,,,4.3,,,,4.2,,,,,,4,,4,4.2,,,,,3.8,
579,,5,,,,4.2,4.3,,4.8,4.9,,4.1,3.7,,4.5,4.3,4.1,4.7,4.4,,,4.9,,,4.2,,4.4,4.9,,,5,,,,3.9,,,,,,3.7,,4,4.2,,,,,4.4,
580,,3.7,,,,4.3,4.2,,4.5,4.1,,4.1,3.8,,4.4,4.4,4.5,4.2,4.3,,,4.8,,,4.7,,4.4,4.5,,,4.2,,,,4,,,,,,4.4,,3.5,4.6,,,,,4.1,
581,,4.3,,,,4.6,4.6,,4.7,4.7,,5,5,,4.5,4.2,4.3,4.7,4.6,,,5,,,4.1,,4.2,4.5,,,4.3,,,,4.3,,,,,,4.2,,4.7,3.9,,,,,4.6,
582,,4.8,,,,4.5,4.7,,4.8,4.1,,5,4,,4.2,4.8,4.2,1.9,4.4,,,3.5,,,4.4,,3.6,4.2,,,3.7,,,,4.2,,,,,,4,,4.4,4.1,,,,,4.7,
583,,4.4,,,,4,4.6,,4.1,4.7,,5,4.4,,4.1,3.7,4.3,3.5,3.7,,,4.6,,,4,,4.6,4.5,,,4,,,,4.2,,,,,,4.8,,4,4.4,,,,,3,
584,,4.3,,,,4.2,4.5,,4.4,4.4,,4.1,4,,4.6,4.2,4,4.5,4.7,,,4,,,4.2,,4.6,4.2,,,4,,,,4.5,,,,,,4.4,,4.1,4.3,,,,,4.4,
585,,4.3,,,,4.4,4.7,,3.9,4.9,,4.2,4.2,,4.4,4,4.6,4.4,4.4,,,4.3,,,4.3,,4.4,4.4,,,4.4,,,,4.2,,,,,,4,,5,4.2,,,,,5,
586,,4.3,,,,4.7,3.5,,4.2,4.4,,4.2,4.7,,3.9,4.5,4.4,4.3,4,,,4.6,,,4.6,,4.3,4,,,4.2,,,,4.4,,,,,,4.2,,4.2,4.3,,,,,4,
587,,4.2,,,,4.8,4.2,,4.4,4.1,,4,4.2,,4.4,4.2,4.6,3.5,4.5,,,4,,,3.8,,4.3,3.8,,,4,,,,4.4,,,,,,4.4,,4.2,4.1,,,,,4.2,
588,,4,,,,4.5,4.6,,4.2,3.8,,4.1,3.8,,3.6,4.4,4.5,4.1,4.5,,,4.4,,,4.9,,4.3,4.5,,,3.1,,,,3.9,,,,,,4.3,,3.6,4.4,,,,,4.5,
589,,4.2,,,,4.6,4,,3.5,4.1,,3.1,3.6,,4.1,4.3,5,4,5,,,4.5,,,3.7,,4.7,4.2,,,5,,,,4.1,,,,,,4.2,,4,4.1,,,,,4.5,
590,,4.8,,,,4,4.1,,4.8,4.3,,4.6,4.7,,4.8,4.1,3.3,5,4.5,,,4.8,,,4.6,,3.5,3.6,,,4.4,,,,4.2,,,,,,4.9,,4.3,4.2,,,,,4.8,
591,,4.5,,,,4.3,3.9,,4.3,4.1,,4.4,4.8,,4.9,4.7,3.9,4.4,4.8,,,4.6,,,4,,4.5,4.7,,,4.2,,,,3.8,,,,,,3.8,,4.4,4.2,,,,,4.5,
592,,4.3,,,,4.5,3.7,,4.7,3.7,,5,4.3,,4.7,4,4.1,4.2,4.4,,,4.7,,,3.7,,4.6,4.6,,,4.5,,,,4.1,,,,,,3.5,,4.6,4.3,,,,,4.2,
593,,4.7,,,,4.4,4.5,,4.8,4.6,,4.3,4.2,,4.6,4.3,4.1,4.2,4,,,4.8,,,4.2,,4.2,4.9,,,4,,,,4.3,,,,,,4.7,,3.8,4.5,,,,,4.5,
594,,5,,,,4.2,4.5,,4.8,4.6,,4.4,4.5,,4.8,4.3,4.7,4.6,3.9,,,4,,,5,,4.7,4.1,,,3.8,,,,4.4,,,,,,3.5,,4.7,4.1,,,,,4.7,
595,,4.5,,,,4.3,4.5,,4.4,4.2,,5,4.3,,4.6,4.2,1.9,4.7,4.7,,,4.4,,,5,,4.2,4.8,,,4,,,,3.3,,,,,,4.5,,4.2,4.5,,,,,4.1,
596,,4.8,,,,4.2,4.5,,5,4.7,,4.9,5,,4.5,4.2,4.1,4.6,4.5,,,4,,,4.7,,4.5,4.7,,,4.7,,,,4,,,,,,4,,4.4,4.3,,,,,4.2,
597,,4.8,,,,4.9,4.7,,5,4,,3.5,4,,5,4.1,4.3,4.6,4.3,,,4.2,,,4,,4.7,4.3,,,5,,,,4.1,,,,,,4.7,,4.2,2,,,,,3.9,
598,,3.7,,,,4.2,4.8,,4,4.4,,4.8,4.7,,4.8,4.5,3.3,4.5,4.4,,,4.6,,,4.5,,4.1,4.1,,,4.2,,,,4.3,,,,,,4.1,,4.3,5,,,,,3.5,
599,,4.5,,,,4.9,4.5,,4.3,3.9,,3.9,5,,3.5,4.2,4.2,4.4,4.4,,,4.2,,,4.6,,3.6,4.2,,,4.3,,,,4.1,,,,,,4.6,,4.1,4,,,,,4.4,
600,,4.5,,,,4.4,3.7,,5,4.6,,3.6,4.3,,4.7,4.1,4.4,4.3,5,,,4.5,,,4.3,,4.3,4,,,3.9,,,,4.2,,,,,,4.2,,3.5,3.7,,,,,5,
601,,5,,,,4.1,4.4,,4,4.3,,4.9,4.9,,4.2,4.2,4.3,3.9,4.7,,,4.1,,,5,,3.7,4.3,,,4.3,,,,4,,,,,,4.3,,4.3,4.6,,,,,3.9,
602,,5,,,,4.1,3.9,,4,4,,4.1,3.7,,4.4,4.9,4.2,4.7,4.2,,,4.6,,,4.3,,4.4,4.2,,,4.4,,,,4.1,,,,,,4.4,,3.9,4.6,,,,,4.5,
603,,4.6,,,,4,3.3,,4.3,4.6,,5,4.5,,4.6,4,4.2,4.2,4,,,4.4,,,4.2,,4.4,4.2,,,4.1,,,,4,,,,,,4.6,,4.5,3.7,,,,,4.5,
604,,4.9,,,,4.4,4.6,,3.9,4.4,,3.4,4.5,,4.5,4.4,4.1,4.1,5,,,3.4,,,4,,4.5,4.2,,,4.2,,,,4.4,,,,,,4.6,,4.4,4.5,,,,,3.6,
605,,4.6,,,,5,4.7,,3.5,4.3,,4.7,4.6,,4.1,4.6,3.7,4.5,4,,,4.1,,,4.9,,4.6,4.1,,,4.3,,,,4.6,,,,,,4.2,,4,4.1,,,,,5,
606,,4.1,,,,4.1,4.6,,4.4,4.5,,3.9,4.4,,4.8,3.9,4.2,4.5,4.7,,,4.5,,,4.6,,3.8,3.6,,,4.1,,,,4.3,,,,,,5,,3.7,3.8,,,,,4,
607,,4.1,,,,4.5,4.3,,4,4.3,,4.7,4.5,,4.2,4.5,4.4,4.1,4.1,,,4.2,,,4,,4.1,4.2,,,4.7,,,,4.7,,,,,,4.1,,4.4,4.4,,,,,4.7,
608,,4.6,,,,4.8,4.1,,4,5,,3.7,4,,4.2,5,4.3,4.7,5,,,4.2,,,5,,4.3,3.1,,,4,,,,4.5,,,,,,4.1,,3.1,4.1,,,,,4.1,
609,,4.1,,,,4.7,4.3,,4.3,4.2,,4.1,4,,4.7,4.4,4.1,4.8,4.4,,,4,,,4.7,,3.2,4.3,,,4.3,,,,4.6,,,,,,3.9,,3.6,3.9,,,,,4.2,
610,,3.6,,,,4.1,4.2,,4.2,4.4,,3.8,4,,4.5,4.4,4.1,4.4,4.4,,,4.3,,,4,,4.4,4.3,,,4.6,,,,4.8,,,,,,4.2,,4.1,4.7,,,,,4.2,
611,,3.8,,,,5,4.3,,4.2,3.6,,4.8,3.4,,4,4.4,4.3,4.7,3.9,,,3.9,,,4.2,,4.5,4.5,,,4.8,,,,3.5,,,,,,4.1,,3.9,4.2,,,,,4.9,
612,,3.7,,,,3.7,4.1,,4.1,4.4,,4.5,3.8,,4.5,4.5,4.4,4.3,4.8,,,4.7,,,3.9,,3.2,4.4,,,3.9,,,,3.8,,,,,,4.4,,4.5,3.9,,,,,5,
613,,4.7,,,,4.3,4.6,,4.5,4.4,,4,4.2,,4.3,3.7,4.2,3.8,5,,,5,,,4.3,,4.5,4,,,4.2,,,,4.2,,,,,,4.3,,4.2,4,,,,,4,
614,,4.3,,,,4.3,4.8,,4.2,1,,5,4,,4.8,4.4,4.1,4.1,4.6,,,3.8,,,4.8,,4,4.1,,,4,,,,4.2,,,,,,4,,4.1,4.4,,,,,3.9,
615,,4.7,,,,4.5,4.4,,4.7,4.2,,4,3.2,,4.4,4.5,4.5,4.2,4.4,,,4.1,,,4.7,,4.5,4.2,,,3.5,,,,4.1,,,,,,4.6,,4.3,4.4,,,,,3.9,
616,,4.2,,,,4.7,4.5,,4.4,4.3,,4.6,3.8,,4.7,4.3,4.3,5,5,,,4.6,,,4.3,,4.5,3.8,,,4.1,,,,4.7,,,,,,4.1,,3.5,4.4,,,,,4.3,
617,,3.9,,,,4.4,4.2,,4.3,4.4,,4.2,4.1,,4.3,3.6,4.3,4.5,4.1,,,4.2,,,4.9,,4.4,4.8,,,4.3,,,,3.9,,,,,,4.7,,4,4.3,,,,,4.5,
618,,4,,,,4.5,4.6,,4.2,4.1,,4,4.2,,4.6,5,4.4,4.1,3.5,,,4.2,,,4.6,,4.9,4.1,,,4,,,,4.7,,,,,,4,,4.5,4.5,,,,,4.2,
619,,3.3,,,,4.5,4.1,,5,4.4,,4.4,5,,4.2,4.3,4.2,3.8,4.4,,,4.8,,,3.8,,3.8,4.9,,,3.9,,,,4.3,,,,,,3.5,,4.2,4.2,,,,,4.5,
620,,4.4,,,,4.3,3.8,,4.3,4.4,,4.8,4,,4.4,4.1,3.8,4.7,4.7,,,4.1,,,4.3,,3.6,4,,,4,,,,4.3,,,,,,4.5,,4.4,4.4,,,,,3,
621,,4.2,,,,4.8,4.5,,4.4,4.4,,4.8,4.5,,4.3,4.3,4.3,3.5,4.3,,,4.5,,,4.2,,4.5,4.3,,,4.9,,,,4.4,,,,,,4.3,,3.7,3.8,,,,,3.9,
622,,4.7,,,,4.7,4.1,,4.2,4.5,,4.5,3.8,,4.3,4,4.1,4.3,4.8,,,4.7,,,4.1,,4.4,4.2,,,4.3,,,,4,,,,,,3.7,,3.8,3.8,,,,,5,
623,,4.9,,,,4.1,4.5,,4.4,4.7,,4.7,4.5,,4.1,4.7,4.3,4.1,4.3,,,4.1,,,4.8,,4.3,4.5,,,4.1,,,,4.4,,,,,,3.8,,4.1,4.2,,,,,5,
624,,4.3,,,,4.8,4.5,,4.1,4.3,,5,3.9,,4.6,4.1,4.1,4.4,4.4,,,4.9,,,4.8,,4.3,4.2,,,4,,,,4.4,,,,,,3.9,,3.5,4.3,,,,,4.7,
625,,4.6,,,,4.2,4.3,,4,4.3,,5,3.9,,4.4,3.9,4.2,4.3,4.2,,,4.5,,,4.4,,4,4.2,,,4,,,,4.4,,,,,,4.3,,3.5,3.9,,,,,4,
626,,4.7,,,,4,4.7,,4.2,4.7,,3.9,4.7,,4.4,4.3,4.2,4.4,3.8,,,5,,,4.4,,3.3,3.7,,,4.1,,,,3.5,,,,,,4.1,,4,4.2,,,,,4.4,
627,,4.1,,,,3.9,4.8,,4.4,3.5,,5,4,,4.5,4.4,4.7,4.2,4.3,,,4,,,4.7,,4.4,3.9,,,4.2,,,,4.3,,,,,,3.7,,4.1,3.9,,,,,4.1,
628,,5,,,,4.2,4.3,,4.7,4.1,,4.1,4.2,,4.7,5,4.5,4.8,4.7,,,4.8,,,3.4,,4.5,3.8,,,5,,,,4.2,,,,,,4,,3.6,3.9,,,,,4.8,
629,,4.9,,,,4.4,4,,4.1,4.6,,3.8,4.1,,4.5,4.2,4.4,4.8,4.4,,,5,,,3.9,,4.5,4.3,,,4.2,,,,2.9,,,,,,4.1,,4.4,4.5,,,,,4.4,
630,,5,,,,3.8,4.3,,3.7,4.3,,4.1,3.8,,4.1,3.9,4.6,4.4,3.8,,,4.8,,,3.5,,4.7,4.2,,,4.5,,,,4.2,,,,,,4.4,,3.9,3.8,,,,,4.5,
631,,4.5,,,,4.2,4.5,,4.5,4.2,,3.8,4.7,,4.2,4.3,4.8,3.4,4.5,,,3.8,,,3.8,,4.8,3.6,,,3.9,,,,4.5,,,,,,4.3,,4,4.3,,,,,4,
632,,4.7,,,,4.1,4.3,,4.2,4.2,,4.4,4.7,,3.5,4.2,4.3,3.8,4.2,,,4.2,,,4.2,,4.6,4.2,,,4.2,,,,4.7,,,,,,4.4,,4.1,3.9,,,,,4.2,
633,,4.7,,,,3.8,4.6,,4.5,4,,4.7,4.3,,4.6,4.7,5,1.2,4.5,,,4.7,,,4.7,,4.3,3.7,,,4,,,,5,,,,,,4.5,,4.1,4.7,,,,,4.4,
634,,4.5,,,,4.2,4.2,,4.3,4.4,,4.8,3.9,,4.2,4.6,4.5,5,4.5,,,4.7,,,4.5,,4.4,3.8,,,4.2,,,,4.4,,,,,,4,,4.2,4.6,,,,,4.1,
635,,5,,,,4.2,3.4,,4.3,3.9,,4.2,4.5,,4.4,4.5,4.2,4.5,4.5,,,4.6,,,4.1,,3.7,4.2,,,4.1,,,,4.6,,,,,,4.2,,4.4,4.5,,,,,4.3,
636,,5,,,,4.2,4,,4.5,4.7,,4,4.8,,5,4.1,5,5,4.4,,,3.8,,,2.4,,4.3,4,,,3.9,,,,4.6,,,,,,4.5,,3.9,4.2,,,,,4.2,
637,,4.2,,,,4.1,4.5,,3.2,4.1,,4.4,3.1,,4.3,4.3,4.4,4.5,4.5,,,3.5,,,3.7,,4.4,4.3,,,4.2,,,,3.5,,,,,,4,,4.2,4,,,,,4.5,
638,,4.4,,,,4.2,4.2,,4.5,4.6,,4.4,4.3,,4.7,4.2,5,4,5,,,4.5,,,4.5,,4.3,4.3,,,4.1,,,,4.6,,,,,,4,,4.3,4.3,,,,,3.8,
639,,3.2,,,,4.2,3.6,,4.4,4.6,,2.3,4.5,,4,4.6,3.9,4.5,5,,,4.6,,,4.8,,3.9,3.5,,,4.8,,,,4.5,,,,,,3.8,,3.3,4.7,,,,,3.9,
640,,4.1,,,,4.3,4.3,,4.7,4,,5,4.2,,4.3,4.6,4.2,3.8,4.6,,,4.6,,,4.7,,4.7,4.2,,,4,,,,4.2,,,,,,4,,3.8,4.2,,,,,3.8,
641,,4.3,,,,4.6,4.7,,4.8,4.3,,4.1,4.2,,4.6,4.3,4.6,4.2,4.4,,,4.1,,,4.5,,4.4,4.6,,,3.6,,,,4.7,,,,,,4.5,,3.8,4.1,,,,,3.9,
642,,4,,,,4.7,4.1,,4.4,4.5,,4.7,4.6,,4.3,3.2,4.5,4.1,3.9,,,3.8,,,4.5,,4.4,4.2,,,4.4,,,,4.1,,,,,,4.2,,4.3,4.4,,,,,4.4,
643,,4.9,,,,4.7,4.3,,4.3,4.4,,4.2,4.9,,4.4,4.2,4.4,4.3,4.7,,,4.1,,,4.4,,4.3,4,,,4.3,,,,4,,,,,,4,,3.8,4.4,,,,,4.1,
644,,4.8,,,,4.6,4.5,,4.5,4.4,,4.6,4.5,,4.6,4.3,4.3,4.5,4.4,,,4.8,,,4.7,,3.3,4,,,4,,,,4.6,,,,,,4.3,,4.2,3.8,,,,,4.2,
645,,2.8,,,,4.7,4.3,,4,4,,5,4.4,,4.2,4.1,4.3,4.9,4.6,,,3.1,,,4.5,,4.2,4.1,,,5,,,,4.4,,,,,,4.5,,4.6,4,,,,,4.3,
646,,3.6,,,,4.1,4.3,,4.1,4.3,,4.6,3.8,,4.4,3.7,4.1,4.2,4.5,,,4.7,,,4.1,,4.3,4.1,,,4.1,,,,2.1,,,,,,4,,4.1,4.2,,,,,3.9,
